source_name,source_username,expert_units_net,expert_record_win,expert_record_loss,expert_record_push,market_type,bet_label,line,odds,stake_units,units_type,prop_name,notes,game_id,league,pick_id,expert_id,created_at,updated_at,scraped_at,source_url,unique_key
Stuck 🚨,Stuckey2,-2.857,46,52,1,total,H.Henry o37.5 Rec Yds,37.5,-110,0.25,unit,Rec Yds,Some Henry sprinkles. Good matchup for many reasons. Will talk about on pod and in written preview. ,284635,nfl,530529404,49763,2026-01-27T15:23:00.113Z,2026-01-27T15:23:00.113Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,872df31681354f75f54d532555e02864b084dd4d4c45f3416a8b457c2a5204b2
Stuck 🚨,Stuckey2,-2.857,46,52,1,total,H.Henry o3.5 Recs,3.5,-104,0.2,unit,Recs,,284635,nfl,530529405,49763,2026-01-27T15:23:00.113Z,2026-01-27T15:23:00.113Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,3b8888261b87cbbdc803c7e33ad0d1899196ea61a5e19b2b37580e8d67d9cc2f
Stuck 🚨,Stuckey2,-2.857,46,52,1,total,H.Henry o16.5 Longest Reception,16.5,-125,0.2,unit,Longest Reception,,284635,nfl,530529406,49763,2026-01-27T15:23:00.113Z,2026-01-27T15:23:00.113Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,9477d23fba351b798e8c7e5dd599f6c4cb7976cf37ef0006c1f6c84a131d4ba7
Stuck 🚨,Stuckey2,-2.857,46,52,1,unknown,Stefon Diggs (3Q) Over 5.5 Rec Yds,5.5,-112,0.15,unit,Custom Picks,Like this look from @The_Oddsmaker ,284635,nfl,531580068,49763,2026-02-03T20:44:56.830Z,2026-02-03T20:44:56.830Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,94f7fbc58cc5985ff08b6771af1f48e14c499f5c86db0ab24b8c92dcc4f00d02
Stuck 🚨,Stuckey2,-2.857,46,52,1,props,SEA u25.5,25.5,-113,0.45,unit,,,284635,nfl,531716372,49763,2026-02-04T19:52:06.089Z,2026-02-04T19:52:06.089Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,ae2eec56b06e1492b8d74eb65a3142b4beeddf8f9fbd8407cfb2428ec7fb54e5
Mike McNamara,mikemcnamara33,-7.0184999999999995,47,78,1,props,SEA u25.5,25.5,-120,0.6,unit,,,284635,nfl,531860666,52262,2026-02-05T20:11:36.652Z,2026-02-05T20:11:36.652Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,3ef20e3abe583b54c0a867b12598ded1aa9577680c2693824abf8baf94c4e9dc
Sean Zerillo,Zerillo,-0.22180000000000022,30,39,0,unknown,SEA -218,-218,-218,2.18,unit,,,284635,nfl,530394470,105764,2026-01-26T03:09:00.822Z,2026-01-26T03:09:00.822Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,2af7571fcbe9c28986d1a655a0587e6f26820df168d3f72a01fd8d80cad40da4
Chris Raybon,ChrisRaybon,2.1995000000000005,13,9,0,total,C.Kupp u3.5 Recs,3.5,-160,1,unit,Recs,"3 or less in 12-of-18g (66.7%).

NE D 4.9 sched-adj Tar/g to WR2s T-4th-fewest.",284635,nfl,531579556,130683,2026-02-03T20:40:52.606Z,2026-02-03T20:40:52.606Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,f096ae1e09a8e8435ad2e57d232983746f6b2e5961d70a6341e5c9f7cd389a67
Chris Raybon,ChrisRaybon,2.1995000000000005,13,9,0,total,R.Shaheed u5.5 Rush Yds,5.5,-115,1,unit,Rush Yds,"2 or less in 16 of 20g overall, 5 or less in 7 of 11 with SEA. 5 carries in 1st 4g with SEA, but 5 in his last 7g including 3g with 0 carries. Only 13 of 29 (44.8%) career carries have gone for more than 5, including only 5 of 12 this season (41.7%)",284635,nfl,530572951,130683,2026-01-27T21:27:31.081Z,2026-01-27T21:27:31.081Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,78bb334f1a14c5eaa587f5c70b57747a1c463da9c013da113d97a6df4f8c824b
Chris Raybon,ChrisRaybon,2.1995000000000005,13,9,0,unknown,K. Walker No TD,0,150,1,unit,Custom Picks,"NE D 1.2% rush TD rate in 15g w/ DT Milton Williams (4.7% w/o), including 2 TD on 262 RB carries (0.8%).",284635,nfl,531730339,130683,2026-02-04T21:35:51.503Z,2026-02-04T21:35:51.503Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,18e86c5a62109c3d795079ee398d49ade381f90ede4b0b36aab5132874b27e8a
Chris Raybon,ChrisRaybon,2.1995000000000005,13,9,0,unknown,J. Smith-Njigba Super Bowl LX MVP  ,0,550,1,unit,Custom Picks,"If SEA wins and everyone lands around median outcome, JSN wins (possibly even w/o TD if game is low-scoring enough). 

Prop-implied stat lines:

JSN 7 rec, 93 yd, 1 TD

Darnold 20-29, 228 yd, 2 TD, 1 INT

JSN projects to account for ~40% of Darnold’s pass yardage. 


",284635,nfl,531734115,130683,2026-02-04T21:58:03.962Z,2026-02-04T21:58:03.961Z,2026-02-06T19:38:15+00:00,https://www.actionnetwork.com/_next/data/gTrZYK5vb77eiGJDZHqrW/nfl-game/seahawks-patriots-score-odds-february-8-2026/284635.json?league=nfl-game&slug=seahawks-patriots-score-odds-february-8-2026&gameId=284635,82e55487944872583b526ecf7bd77d82e7206395fa4ab6adb71ace0bed8891da
