Stat_Category,Team,Value,Source
QB Pass Yards,Cowboys,270.93,CBS Yds
QB Pass Yards,Buccaneers,264.5,CBS Yds
QB Pass Yards,Colts,264.21,CBS Yds
QB Pass Yards,Steelers,260.64,CBS Yds
QB Pass Yards,Commanders,259.86,CBS Yds
QB Pass Yards,Bengals,255.93,CBS Yds
QB Pass Yards,Titans,249.36,CBS Yds
QB Pass Yards,Lions,247.5,CBS Yds
QB Pass Yards,Ravens,245.21,CBS Yds
QB Pass Yards,Giants,242.43,CBS Yds
QB Pass Yards,Rams,239.4,CBS Yds
QB Pass Yards,Cardinals,238.79,CBS Yds
QB Pass Yards,Jaguars,236.43,CBS Yds
QB Pass Yards,49ers,236.07,CBS Yds
QB Pass Yards,Bears,231.07,CBS Yds
QB Pass Yards,Seahawks,229.2,CBS Yds
QB Pass Yards,Panthers,225.86,CBS Yds
QB Pass Yards,Broncos,223.21,CBS Yds
QB Pass Yards,Raiders,221.71,CBS Yds
QB Pass Yards,Patriots,218.14,CBS Yds
QB Pass Yards,Dolphins,217.64,CBS Yds
QB Pass Yards,Falcons,217.29,CBS Yds
QB Pass Yards,Chiefs,212.29,CBS Yds
QB Pass Yards,Jets,211.29,CBS Yds
QB Pass Yards,Eagles,210.36,CBS Yds
QB Pass Yards,Packers,208.57,CBS Yds
QB Pass Yards,Texans,197.36,CBS Yds
QB Pass Yards,Vikings,196.93,CBS Yds
QB Pass Yards,Saints,194.07,CBS Yds
QB Pass Yards,Chargers,190.43,CBS Yds
QB Pass Yards,Browns,189.57,CBS Yds
QB Pass Yards,Bills,183.36,CBS Yds
RB Rush Yards,Bengals,129.21,CBS Yds
RB Rush Yards,Giants,123.64,CBS Yds
RB Rush Yards,Bills,115.14,CBS Yds
RB Rush Yards,Saints,110.29,CBS Yds
RB Rush Yards,Cardinals,109.71,CBS Yds
RB Rush Yards,Commanders,109.5,CBS Yds
RB Rush Yards,Jets,107.93,CBS Yds
RB Rush Yards,Vikings,107.0,CBS Yds
RB Rush Yards,Dolphins,106.43,CBS Yds
RB Rush Yards,Steelers,102.64,CBS Yds
RB Rush Yards,Panthers,101.71,CBS Yds
RB Rush Yards,Raiders,100.93,CBS Yds
RB Rush Yards,Falcons,98.5,CBS Yds
RB Rush Yards,Bears,97.57,CBS Yds
RB Rush Yards,Titans,97.5,CBS Yds
RB Rush Yards,Eagles,97.21,CBS Yds
RB Rush Yards,Browns,91.93,CBS Yds
RB Rush Yards,Cowboys,91.21,CBS Yds
RB Rush Yards,49ers,90.29,CBS Yds
RB Rush Yards,Ravens,89.07,CBS Yds
