Stat_Category,Team,Value,Source
QB Pass Yards,Lions,1479.0,Last5 Yds
QB Pass Yards,Buccaneers,1408.0,Last5 Yds
QB Pass Yards,Titans,1406.0,Last5 Yds
QB Pass Yards,Falcons,1389.0,Last5 Yds
QB Pass Yards,Cowboys,1347.0,Last5 Yds
QB Pass Yards,Chiefs,1209.0,Last5 Yds
QB Pass Yards,Rams,1197.0,Last5 Yds
QB Pass Yards,Cardinals,1191.0,Last5 Yds
QB Pass Yards,Bengals,1184.0,Last5 Yds
QB Pass Yards,Colts,1146.0,Last5 Yds
QB Pass Yards,Jets,1125.0,Last5 Yds
QB Pass Yards,Ravens,1107.0,Last5 Yds
QB Pass Yards,Broncos,1059.0,Last5 Yds
QB Pass Yards,Raiders,1057.0,Last5 Yds
QB Pass Yards,Texans,1057.0,Last5 Yds
QB Pass Yards,Steelers,1033.0,Last5 Yds
QB Pass Yards,Packers,1032.0,Last5 Yds
QB Pass Yards,Browns,1005.0,Last5 Yds
QB Pass Yards,Eagles,966.0,Last5 Yds
QB Pass Yards,Bears,962.0,Last5 Yds
QB Pass Yards,Jaguars,955.0,Last5 Yds
QB Pass Yards,Giants,952.0,Last5 Yds
QB Pass Yards,49ers,940.0,Last5 Yds
QB Pass Yards,Panthers,931.0,Last5 Yds
QB Pass Yards,Commanders,901.0,Last5 Yds
QB Pass Yards,Bills,882.0,Last5 Yds
QB Pass Yards,Vikings,869.0,Last5 Yds
QB Pass Yards,Dolphins,845.0,Last5 Yds
QB Pass Yards,Seahawks,794.0,Last5 Yds
QB Pass Yards,Chargers,769.0,Last5 Yds
QB Pass Yards,Patriots,645.0,Last5 Yds
QB Pass Yards,Saints,641.0,Last5 Yds
RB Rush Yards,Cardinals,664.0,Last5 Yds
RB Rush Yards,Raiders,635.0,Last5 Yds
RB Rush Yards,Steelers,614.0,Last5 Yds
RB Rush Yards,Browns,576.0,Last5 Yds
RB Rush Yards,Eagles,571.0,Last5 Yds
RB Rush Yards,Jets,570.0,Last5 Yds
RB Rush Yards,Vikings,565.0,Last5 Yds
RB Rush Yards,Bills,557.0,Last5 Yds
RB Rush Yards,Lions,545.0,Last5 Yds
RB Rush Yards,Bengals,539.0,Last5 Yds
RB Rush Yards,Giants,534.0,Last5 Yds
RB Rush Yards,Packers,503.0,Last5 Yds
RB Rush Yards,Saints,489.0,Last5 Yds
RB Rush Yards,Commanders,457.0,Last5 Yds
RB Rush Yards,Bears,451.0,Last5 Yds
RB Rush Yards,Panthers,447.0,Last5 Yds
RB Rush Yards,Rams,436.0,Last5 Yds
RB Rush Yards,Seahawks,417.0,Last5 Yds
RB Rush Yards,Patriots,405.0,Last5 Yds
RB Rush Yards,Buccaneers,402.0,Last5 Yds
RB Rush Yards,Chiefs,383.0,Last5 Yds
RB Rush Yards,Chargers,380.0,Last5 Yds
RB Rush Yards,Ravens,375.0,Last5 Yds
RB Rush Yards,Texans,366.0,Last5 Yds
RB Rush Yards,Dolphins,364.0,Last5 Yds
RB Rush Yards,49ers,347.0,Last5 Yds
RB Rush Yards,Colts,342.0,Last5 Yds
RB Rush Yards,Titans,336.0,Last5 Yds
RB Rush Yards,Falcons,327.0,Last5 Yds
RB Rush Yards,Jaguars,288.0,Last5 Yds
RB Rush Yards,Cowboys,284.0,Last5 Yds
RB Rush Yards,Broncos,266.0,Last5 Yds
RB Rec,Ravens,31.0,Last5 Yds
RB Rec,Cowboys,29.0,Last5 Yds
RB Rec,49ers,28.0,Last5 Yds
RB Rec,Seahawks,28.0,Last5 Yds
RB Rec,Browns,25.0,Last5 Yds
RB Rec,Cardinals,24.0,Last5 Yds
RB Rec,Buccaneers,24.0,Last5 Yds
RB Rec,Steelers,24.0,Last5 Yds
RB Rec,Texans,24.0,Last5 Yds
RB Rec,Giants,22.0,Last5 Yds
RB Rec,Bengals,22.0,Last5 Yds
RB Rec,Jaguars,22.0,Last5 Yds
RB Rec,Jets,21.0,Last5 Yds
RB Rec,Rams,21.0,Last5 Yds
RB Rec,Falcons,20.0,Last5 Yds
RB Rec,Raiders,19.0,Last5 Yds
RB Rec,Bills,19.0,Last5 Yds
RB Rec,Panthers,18.0,Last5 Yds
RB Rec,Commanders,18.0,Last5 Yds
RB Rec,Eagles,18.0,Last5 Yds
RB Rec,Packers,18.0,Last5 Yds
RB Rec,Bears,18.0,Last5 Yds
RB Rec,Dolphins,18.0,Last5 Yds
RB Rec,Titans,17.0,Last5 Yds
RB Rec,Chiefs,15.0,Last5 Yds
RB Rec,Patriots,14.0,Last5 Yds
RB Rec,Colts,13.0,Last5 Yds
RB Rec,Vikings,12.0,Last5 Yds
RB Rec,Broncos,11.0,Last5 Yds
RB Rec,Lions,10.0,Last5 Yds
RB Rec,Saints,8.0,Last5 Yds
RB Rec,Chargers,8.0,Last5 Yds
RB Rec Yards,Buccaneers,314.0,Last5 Yds
RB Rec Yards,Jets,257.0,Last5 Yds
RB Rec Yards,Ravens,249.0,Last5 Yds
RB Rec Yards,Cowboys,246.0,Last5 Yds
RB Rec Yards,Bengals,239.0,Last5 Yds
RB Rec Yards,Eagles,231.0,Last5 Yds
RB Rec Yards,Titans,214.0,Last5 Yds
RB Rec Yards,Cardinals,211.0,Last5 Yds
RB Rec Yards,Browns,207.0,Last5 Yds
RB Rec Yards,Steelers,194.0,Last5 Yds
