player,team,position,depth
Jacoby Brissett,ARI,QB,1
Kedon Slovis,ARI,QB,2
Michael Carter,ARI,RB,1
Emari Demercado,ARI,RB,2
Bam Knight,ARI,RB,3
Andre Baccellia,ARI,WR,1
Greg Dortch,ARI,WR,2
Marvin Harrison Jr.,ARI,WR,3
Xavier Weaver,ARI,WR,4
Michael Wilson,ARI,WR,5
Pharaoh Brown,ARI,TE,1
Josiah Deguara,ARI,TE,2
Elijah Higgins,ARI,TE,3
Trey McBride,ARI,TE,4
Kyler Murray,ARI,QB,3
Trey Benson,ARI,RB,4
James Conner,ARI,RB,5
Simi Fehoko,ARI,WR,6
Zay Jones,ARI,WR,7
Tip Reiman,ARI,TE,5
Travis Vokolek,ARI,TE,6
Jeff Driskel,ARI,QB,4
Jermar Jefferson,ARI,RB,6
Jalen Brooks,ARI,WR,8
Tejhaun Palmer,ARI,WR,9
Jalen Virgil,ARI,WR,10
Messiah Swinson,ARI,TE,7
Kirk Cousins,ATL,QB,1
Michael Penix Jr.,ATL,QB,2
Tyler Allgeier,ATL,RB,1
Nathan Carter,ATL,RB,2
Bijan Robinson,ATL,RB,3
Jamal Agnew,ATL,WR,1
KhaDarel Hodge,ATL,WR,2
Drake London,ATL,WR,3
Darnell Mooney,ATL,WR,4
David Sills V,ATL,WR,5
Casey Washington,ATL,WR,6
Feleipe Franks,ATL,TE,1
Kyle Pitts Sr.,ATL,TE,2
Teagan Quitoriano,ATL,TE,3
Charlie Woerner,ATL,TE,4
Emory Jones,ATL,QB,3
Easton Stick,ATL,QB,4
Carlos Washington Jr.,ATL,RB,4
Chris Blair,ATL,WR,7
Dylan Drummond,ATL,WR,8
Nick Nash,ATL,WR,9
Deven Thompkins,ATL,WR,10
Joshua Simon,ATL,TE,5
Tyler Huntley,BAL,QB,1
Lamar Jackson,BAL,QB,2
Cooper Rush,BAL,QB,3
Rasheen Ali,BAL,RB,1
Derrick Henry,BAL,RB,2
Justice Hill,BAL,RB,3
Keaton Mitchell,BAL,RB,4
Rashod Bateman,BAL,WR,1
Zay Flowers,BAL,WR,2
DeAndre Hopkins,BAL,WR,3
Devontez Walker,BAL,WR,4
Tylan Wallace,BAL,WR,5
LaJohntay Wester,BAL,WR,6
Mark Andrews,BAL,TE,1
Charlie Kolar,BAL,TE,2
Isaiah Likely,BAL,TE,3
Dayton Wade,BAL,WR,7
Cornelius Johnson,BAL,WR,8
Keith Kirkwood,BAL,WR,9
Scotty Washington,BAL,TE,4
Josh Allen,BUF,QB,1
Mitchell Trubisky,BUF,QB,2
James Cook III,BUF,RB,1
Ray Davis,BUF,RB,2
Ty Johnson,BUF,RB,3
Keon Coleman,BUF,WR,1
Elijah Moore,BUF,WR,2
Joshua Palmer,BUF,WR,3
Curtis Samuel,BUF,WR,4
Khalil Shakir,BUF,WR,5
Tyrell Shavers,BUF,WR,6
Jackson Hawes,BUF,TE,1
Dalton Kincaid,BUF,TE,2
Dawson Knox,BUF,TE,3
Shane Buechele,BUF,QB,3
Frank Gore Jr.,BUF,RB,4
Gabe Davis,BUF,WR,7
Stephen Gosnell,BUF,WR,8
Mecole Hardman,BUF,WR,9
Keleki Latu,BUF,TE,4
Andy Dalton,CAR,QB,1
Bryce Young,CAR,QB,2
Rico Dowdle,CAR,RB,1
Trevor Etienne,CAR,RB,2
Chuba Hubbard,CAR,RB,3
Jalen Coker,CAR,WR,1
Jimmy Horn Jr.,CAR,WR,2
Xavier Legette,CAR,WR,3
Tetairoa McMillan,CAR,WR,4
Hunter Renfrow,CAR,WR,5
Brycen Tremayne,CAR,WR,6
Mitchell Evans,CAR,TE,1
James Mitchell,CAR,TE,2
Ja'Tavion Sanders,CAR,TE,3
Tommy Tremble,CAR,TE,4
Jonathon Brooks,CAR,RB,4
David Moore,CAR,WR,7
Mike White,CAR,QB,3
DeeJay Dallas,CAR,RB,5
Anthony Tyus III,CAR,RB,6
Dan Chisena,CAR,WR,8
Ja'seem Reed,CAR,WR,9
Ainias Smith,CAR,WR,10
Bryce Pierre,CAR,TE,5
Tyson Bagent,CHI,QB,1
Case Keenum,CHI,QB,2
Caleb Williams,CHI,QB,3
Travis Homer,CHI,RB,1
Roschon Johnson,CHI,RB,2
Kyle Monangai,CHI,RB,3
D'Andre Swift,CHI,RB,4
Luther Burden III,CHI,WR,1
Devin Duvernay,CHI,WR,2
DJ Moore,CHI,WR,3
Rome Odunze,CHI,WR,4
Jahdae Walker,CHI,WR,5
Olamide Zaccheaus,CHI,WR,6
Cole Kmet,CHI,TE,1
Colston Loveland,CHI,TE,2
Durham Smythe,CHI,TE,3
Deion Hankins,CHI,RB,5
Brittain Brown,CHI,RB,6
Maurice Alexander,CHI,WR,7
JP Richardson,CHI,WR,8
Stephen Carlson,CHI,TE,4
Nikola Kalinic,CHI,TE,5
Jake Browning,CIN,QB,1
Sean Clifford,CIN,QB,2
Joe Flacco,CIN,QB,3
Tahj Brooks,CIN,RB,1
Chase Brown,CIN,RB,2
Kendall Milton,CIN,RB,3
Samaje Perine,CIN,RB,4
Jermaine Burton,CIN,WR,1
Ja'Marr Chase,CIN,WR,2
Tee Higgins,CIN,WR,3
Andrei Iosivas,CIN,WR,4
Charlie Jones,CIN,WR,5
Mitchell Tinsley,CIN,WR,6
Noah Fant,CIN,TE,1
Cam Grandy,CIN,TE,2
Tanner Hudson,CIN,TE,3
Drew Sample,CIN,TE,4
Joe Burrow,CIN,QB,4
Erick All Jr.,CIN,TE,5
Mike Gesicki,CIN,TE,6
Gary Brightwell,CIN,RB,5
Jordan Moore,CIN,WR,7
Kendric Pryor,CIN,WR,8
Dillon Gabriel,CLE,QB,1
Shedeur Sanders,CLE,QB,2
Jerome Ford,CLE,RB,1
Quinshon Judkins,CLE,RB,2
Dylan Sampson,CLE,RB,3
Raheim Sanders,CLE,RB,4
Isaiah Bond,CLE,WR,1
Malachi Corley,CLE,WR,2
Kaden Davis,CLE,WR,3
Jerry Jeudy,CLE,WR,4
Gage Larvadain,CLE,WR,5
Jamari Thrash,CLE,WR,6
Cedric Tillman,CLE,WR,7
Brenden Bates,CLE,TE,1
Harold Fannin Jr.,CLE,TE,2
David Njoku,CLE,TE,3
Blake Whiteheart,CLE,TE,4
Deshaun Watson,CLE,QB,3
DeAndre Carter,CLE,WR,8
Bailey Zappe,CLE,QB,4
Luke Floriea,CLE,WR,9
Sal Cannella,CLE,TE,5
Caden Prieskorn,CLE,TE,6
Joe Milton III,DAL,QB,1
Dak Prescott,DAL,QB,2
Jaydon Blue,DAL,RB,1
Hunter Luepke,DAL,RB,2
Javonte Williams,DAL,RB,3
Ryan Flournoy,DAL,WR,1
CeeDee Lamb,DAL,WR,2
Jonathan Mingo,DAL,WR,3
George Pickens,DAL,WR,4
Jalen Tolbert,DAL,WR,5
KaVontae Turpin,DAL,WR,6
Jake Ferguson,DAL,TE,1
Luke Schoonmaker,DAL,TE,2
Brevyn Spann-Ford,DAL,TE,3
Phil Mafah,DAL,RB,4
Miles Sanders,DAL,RB,5
John Stephens Jr.,DAL,TE,4
Will Grier,DAL,QB,3
Malik Davis,DAL,RB,6
Parris Campbell,DAL,WR,7
Jalen Cropper,DAL,WR,8
Traeshon Holden,DAL,WR,9
Rivaldo Fairweather,DAL,TE,5
Princeton Fant,DAL,TE,6
Bo Nix,DEN,QB,1
Jarrett Stidham,DEN,QB,2
Tyler Badie,DEN,RB,1
J.K. Dobbins,DEN,RB,2
RJ Harvey,DEN,RB,3
Jaleel McLaughlin,DEN,RB,4
Pat Bryant,DEN,WR,1
Troy Franklin,DEN,WR,2
Lil'Jordan Humphrey,DEN,WR,3
Marvin Mims Jr.,DEN,WR,4
Trent Sherfield Sr.,DEN,WR,5
Courtland Sutton,DEN,WR,6
Nate Adkins,DEN,TE,1
Evan Engram,DEN,TE,2
Marcedes Lewis,DEN,TE,3
Adam Trautman,DEN,TE,4
Lucas Krull,DEN,TE,5
Sam Ehlinger,DEN,QB,3
Deuce Vaughn,DEN,RB,5
Michael Bandy,DEN,WR,7
A.T. Perry,DEN,WR,8
Kyrese Rowan,DEN,WR,9
Caleb Lohner,DEN,TE,6
Patrick Murtagh,DEN,TE,7
Kyle Allen,DET,QB,1
Jared Goff,DET,QB,2
Jahmyr Gibbs,DET,RB,1
Justin Jackson,DET,RB,2
David Montgomery,DET,RB,3
Craig Reynolds,DET,RB,4
Jacob Saylors,DET,RB,5
Sione Vaki,DET,RB,6
Dominic Lovett,DET,WR,1
Kalif Raymond,DET,WR,2
Amon-Ra St. Brown,DET,WR,3
Isaac TeSlaa,DET,WR,4
Jameson Williams,DET,WR,5
Ross Dwelley,DET,TE,1
Sam LaPorta,DET,TE,2
Brock Wright,DET,TE,3
Kye Robichaux,DET,RB,7
Shane Zylstra,DET,TE,4
C.J. Beathard,DET,QB,3
Malik Cunningham,DET,WR,6
Tom Kennedy,DET,WR,7
Jackson Meeks,DET,WR,8
Anthony Firkser,DET,TE,5
Zach Horton,DET,TE,6
Jordan Love,GB,QB,1
