PosRank,Name,Position,half_ppr,full_ppr
1,Josh Allen,QB,46,46
2,Lamar Jackson,QB,45,45
3,Jayden Daniels,QB,44,44
4,Jalen Hurts,QB,36,36
5,Joe Burrow,QB,24,24
6,Patrick Mahomes II,QB,16,16
7,Baker Mayfield,QB,16,16
8,Justin Herbert,QB,16,16
9,Justin Fields,QB,15,15
10,Bo Nix,QB,14,14
11,Brock Purdy,QB,14,14
12,Kyler Murray,QB,13,13
13,Dak Prescott,QB,13,13
14,J.J. McCarthy,QB,12,12
15,Caleb Williams,QB,11,11
16,Drake Maye,QB,11,11
17,Jordan Love,QB,10,10
18,Jared Goff,QB,9,9
19,Trevor Lawrence,QB,8,8
20,Michael Penix Jr.,QB,7,7
21,Daniel Jones,QB,7,7
22,C.J. Stroud,QB,6,6
23,Geno Smith,QB,5,5
24,Bryce Young,QB,4,4
25,Matthew Stafford,QB,3,3
26,Tua Tagovailoa,QB,2,2
27,Cam Ward,QB,1,1
28,Sam Darnold,QB,1,1
29,Aaron Rodgers,QB,1,1
30,Jaxson Dart,QB,1,1
31,Spencer Rattler,QB,1,1
32,Joe Flacco,QB,0,0
33,Russell Wilson,QB,0,0
34,Anthony Richardson Sr.,QB,0,0
35,Tyler Shough,QB,0,0
36,Dillon Gabriel,QB,0,0
37,Jalen Milroe,QB,0,0
38,Shedeur Sanders,QB,0,0
39,Mac Jones,QB,0,0
40,Jimmy Garoppolo,QB,0,0
1,Bijan Robinson,RB,73,75
2,Christian McCaffrey,RB,71,73
3,Saquon Barkley,RB,70,71
4,Jahmyr Gibbs,RB,69,71
5,Derrick Henry,RB,65,66
6,Ashton Jeanty,RB,59,61
7,Chase Brown,RB,59,60
8,Bucky Irving,RB,56,58
9,Josh Jacobs,RB,54,56
10,Jonathan Taylor,RB,52,54
11,De'Von Achane,RB,51,53
12,Kyren Williams,RB,46,48
13,Omarion Hampton,RB,45,47
14,James Cook,RB,44,46
15,Breece Hall,RB,43,45
16,TreVeyon Henderson,RB,37,39
17,Alvin Kamara,RB,34,36
18,Travis Etienne Jr.,RB,31,33
19,Chuba Hubbard,RB,29,30
20,Tony Pollard,RB,28,30
21,James Conner,RB,27,29
22,Kenneth Walker III,RB,27,29
23,Jordan Mason,RB,27,28
24,RJ Harvey,RB,26,28
25,Jacory Croskey-Merritt,RB,25,27
26,Aaron Jones Sr.,RB,24,26
27,J.K. Dobbins,RB,24,26
28,David Montgomery,RB,23,25
29,Zach Charbonnet,RB,23,25
30,Javonte Williams,RB,23,25
31,D'Andre Swift,RB,23,25
32,Isiah Pacheco,RB,23,24
33,Jaylen Warren,RB,22,24
34,Tyrone Tracy Jr.,RB,21,23
35,Trey Benson,RB,20,22
36,Bhayshul Tuten,RB,18,20
37,Kaleb Johnson,RB,18,19
38,Quinshon Judkins,RB,18,19
39,Nick Chubb,RB,17,18
40,Austin Ekeler,RB,15,17
41,Braelon Allen,RB,15,17
42,Brian Robinson Jr.,RB,14,16
43,Dylan Sampson,RB,14,16
44,Rhamondre Stevenson,RB,14,15
45,Cam Skattebo,RB,14,15
46,Tyler Allgeier,RB,14,15
47,Najee Harris,RB,14,15
48,Ray Davis,RB,14,15
49,Tank Bigsby,RB,13,14
50,Rachaad White,RB,12,14
51,Rico Dowdle,RB,12,14
52,Ollie Gordon II,RB,12,13
53,DJ Giddens,RB,12,13
54,Kendre Miller,RB,12,13
55,Kyle Monangai,RB,11,12
56,Jaydon Blue,RB,10,12
57,Will Shipley,RB,10,11
58,Tyjae Spears,RB,9,10
59,Blake Corum,RB,9,10
60,Keaton Mitchell,RB,8,9
61,Tahj Brooks,RB,8,9
62,Joe Mixon,RB,8,9
63,Kareem Hunt,RB,8,9
64,Kenneth Gainwell,RB,8,9
65,Miles Sanders,RB,8,9
66,Dameon Pierce,RB,8,9
67,Zamir White,RB,7,8
68,Chris Brooks,RB,7,8
69,Jerome Ford,RB,7,8
70,Woody Marks,RB,7,8
71,Sean Tucker,RB,7,8
72,Jarquez Hunter,RB,6,7
73,Brashard Smith,RB,6,7
74,Chris Rodriguez Jr.,RB,4,5
75,Roschon Johnson,RB,4,5
76,Justice Hill,RB,4,5
77,Jaylen Wright,RB,4,5
78,MarShawn Lloyd,RB,4,5
79,Isaac Guerendo,RB,3,4
80,Devin Neal,RB,2,3
81,Trevor Etienne,RB,2,3
82,LeQuint Allen Jr.,RB,2,3
83,Isaiah Davis,RB,1,2
84,Devin Singletary,RB,1,1
85,Jeremy McNichols,RB,1,1
86,Tyler Badie,RB,1,1
87,George Holani,RB,0,0
88,A.J. Dillon,RB,0,0
89,Emanuel Wilson,RB,0,0
90,Antonio Gibson,RB,0,0
91,Ty Johnson,RB,0,0
92,Samaje Perine,RB,0,0
93,Raheim Sanders,RB,0,0
94,Ty Chandler,RB,0,0
95,Julius Chestnut,RB,0,0
1,Ja'Marr Chase,WR,74,76
2,CeeDee Lamb,WR,72,74
3,Justin Jefferson,WR,69,71
4,Malik Nabers,WR,65,67
5,Nico Collins,WR,64,66
6,Puka Nacua,WR,63,65
7,Brian Thomas Jr.,WR,61,63
8,Drake London,WR,61,63
9,Amon-Ra St. Brown,WR,59,61
10,A.J. Brown,WR,52,54
11,Ladd McConkey,WR,50,52
12,Jaxon Smith-Njigba,WR,50,52
13,Garrett Wilson,WR,43,45
14,Tee Higgins,WR,41,42
15,Marvin Harrison Jr.,WR,38,40
16,Mike Evans,WR,38,40
17,Tetairoa McMillan,WR,37,39
18,Davante Adams,WR,32,34
19,DK Metcalf,WR,32,33
20,Zay Flowers,WR,31,33
21,Terry McLaurin,WR,31,33
22,Emeka Egbuka,WR,30,32
23,Rashee Rice,WR,30,32
24,Travis Hunter,WR,29,31
25,Courtland Sutton,WR,28,30
26,Tyreek Hill,WR,28,30
27,DeVonta Smith,WR,28,30
28,George Pickens,WR,27,29
29,Ricky Pearsall,WR,27,29
30,Rome Odunze,WR,27,29
31,DJ Moore,WR,27,29
32,Deebo Samuel Sr.,WR,27,29
33,Calvin Ridley,WR,26,28
34,Jameson Williams,WR,25,27
35,Jordan Addison,WR,25,27
36,Keon Coleman,WR,24,26
37,Chris Olave,WR,24,26
38,Jaylen Waddle,WR,23,25
39,Xavier Worthy,WR,23,24
40,Jerry Jeudy,WR,22,24
41,Jakobi Meyers,WR,22,24
42,Michael Pittman Jr.,WR,21,23
43,Jauan Jennings,WR,21,23
44,Matthew Golden,WR,21,22
45,Stefon Diggs,WR,20,22
46,Marquise Brown,WR,20,22
47,Quentin Johnston,WR,20,21
48,Khalil Shakir,WR,18,20
49,Keenan Allen,WR,17,19
50,Cedric Tillman,WR,16,18
51,Jayden Reed,WR,16,18
52,Darnell Mooney,WR,16,18
53,Kayshon Boutte,WR,16,18
54,Rashid Shaheed,WR,16,17
55,Josh Downs,WR,14,16
56,Cooper Kupp,WR,12,14
57,Christian Kirk,WR,12,14
58,Brandon Aiyuk,WR,12,14
59,Chris Godwin Jr.,WR,12,14
60,Romeo Doubs,WR,11,13
61,Calvin Austin III,WR,11,12
62,Marvin Mims Jr.,WR,11,12
63,Rashod Bateman,WR,11,12
64,Luther Burden III,WR,11,12
65,Jayden Higgins,WR,11,12
66,Elic Ayomanor,WR,11,12
67,Joshua Palmer,WR,11,12
68,Wan'Dale Robinson,WR,10,12
69,DeMario Douglas,WR,10,12
70,Isaac TeSlaa,WR,10,11
71,Jalen Coker,WR,10,11
72,Tre' Harris,WR,9,10
73,Pat Bryant,WR,9,10
74,Tory Horton,WR,9,10
75,Dont'e Thornton Jr.,WR,9,10
76,Xavier Legette,WR,8,9
77,Troy Franklin,WR,8,9
78,Dyami Brown,WR,7,8
79,Adam Thielen,WR,7,8
80,DeAndre Hopkins,WR,7,8
81,Kyle Williams,WR,7,8
82,Alec Pierce,WR,7,8
83,Jalen Royals,WR,7,8
84,Malik Washington,WR,7,8
85,Darius Slayton,WR,7,8
86,Dontayvion Wicks,WR,6,7
87,Tre Tucker,WR,6,7
88,Jalen Nailor,WR,5,6
89,Ray-Ray McCloud III,WR,5,6
90,Andrei Iosivas,WR,4,5
91,Adonai Mitchell,WR,4,5
92,KaVontae Turpin,WR,4,5
93,Jack Bech,WR,4,5
94,Tyquan Thornton,WR,4,5
95,Hunter Renfrow,WR,3,4
96,Michael Wilson,WR,2,3
97,Jahan Dotson,WR,1,2
98,Noah Brown,WR,1,2
99,Casey Washington,WR,1,2
100,Olamide Zaccheaus,WR,1,2
1,Trey McBride,TE,50,52
2,Brock Bowers,TE,48,50
3,George Kittle,TE,28,30
4,Sam LaPorta,TE,26,28
5,Tyler Warren,TE,23,25
6,T.J. Hockenson,TE,21,23
7,Tucker Kraft,TE,20,22
8,Mark Andrews,TE,19,20
9,Travis Kelce,TE,17,19
10,Harold Fannin Jr.,TE,16,18
11,David Njoku,TE,15,17
12,Dalton Kincaid,TE,15,17
13,Kyle Pitts Sr.,TE,15,17
14,Dallas Goedert,TE,14,16
15,Jake Ferguson,TE,12,14
16,Zach Ertz,TE,11,13
17,Hunter Henry,TE,11,13
18,Brenton Strange,TE,11,13
19,Juwan Johnson,TE,10,12
20,Colston Loveland,TE,9,11
21,Evan Engram,TE,8,10
22,Chig Okonkwo,TE,8,10
23,Jonnu Smith,TE,7,8
24,Mason Taylor,TE,7,8
25,Isaiah Likely,TE,7,8
26,Dalton Schultz,TE,7,8
27,Pat Freiermuth,TE,5,6
28,Darren Waller,TE,5,6
29,Cade Otton,TE,4,5
