Rank,Team,Player,"Fantasy Position",Games,SOS,Bye,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,ATL,"Bijan Robinson",RB,11.0,-8.7%,5,39%,16.1,19.8,19.6,21.6,100
2,CIN,"Ja'Marr Chase",WR,10.0,6%,10,48%,17.3,18.1,19.7,25,94
3,LAR,"Puka Nacua",WR,10.0,-1.6%,8,83%,17.3,19.4,19.9,24.3,93.1
4,MIN,"Justin Jefferson",WR,11.0,10.4%,6,53%,15.5,15.7,18,22,91.8
5,SEA,"Jaxon Smith-Njigba",WR,10.0,0.9%,8,79%,16.3,20.4,19.2,24,87.3
6,IND,"Jonathan Taylor",RB,10.0,-4.5%,11,83%,16.6,18.8,18.9,23.6,84.4
7,DAL,"CeeDee Lamb",WR,10.0,-5.9%,10,66%,16,17.8,18.2,24.6,83.2
8,DET,"Jahmyr Gibbs",RB,10.0,-3.6%,8,70%,15.7,18.3,19.1,23.3,82.9
9,SF,"Christian McCaffrey",RB,10.0,-6.8%,14,52%,13.6,21.7,19.4,22.7,79.5
10,DET,"Amon-Ra St. Brown",WR,10.0,8.2%,8,35%,16.2,18.8,17.4,24,78.1
11,GB,"Josh Jacobs",RB,11.0,1.8%,5,69%,13.3,16.6,15.5,19.1,64.7
12,BUF,"James Cook",RB,11.0,-4%,7,73%,12.2,15.2,16.3,17.6,63.3
13,MIA,"De'Von Achane",RB,10.0,5.1%,12,90%,12.5,18.1,17.9,19.7,62.7
14,KC,"Rashee Rice",WR,10.0,0.1%,10,88%,14,14.6,15.6,21.1,58.1
15,BAL,"Derrick Henry",RB,11.0,-0.7%,7,37%,12.3,14.5,14.8,17.8,56
16,BUF,"Josh Allen",QB,11.0,-4.5%,7,22%,18.7,21.9,21.3,22.8,54.6
17,PHI,"Jalen Hurts",QB,10.0,9.1%,9,43%,20.7,20.1,22.7,25.9,51.5
18,ARI,"Trey McBride",TE,10.0,4.6%,8,53%,13.3,13.7,15.6,17.8,46.5
19,HOU,"Nico Collins",WR,10.0,-1%,6,92%,10.4,13.6,14.3,15.9,45.2
20,DAL,"Javonte Williams",RB,10.0,-0.6%,10,73%,13,15,14.8,18.2,44.3
21,CLE,"Quinshon Judkins",RB,10.0,7.5%,9,45%,12.4,13.6,14.9,17.9,42.9
22,IND,"Tyler Warren",TE,10.0,-6.2%,11,60%,12.2,12.6,15,17.4,42.4
23,LVR,"Ashton Jeanty",RB,10.0,3.1%,8,63%,12.6,14,14.6,18.1,42.3
24,LAR,"Kyren Williams",RB,10.0,-6.9%,8,85%,12.6,15.4,15,17.3,42.2
25,LAR,"Davante Adams",WR,10.0,-1.6%,8,82%,12.8,14.9,13.9,18.8,41.8
26,PHI,"Saquon Barkley",RB,10.0,6.4%,9,43%,11.7,15,14.8,18.1,41.7
27,BAL,"Zay Flowers",WR,11.0,-0.2%,7,85%,11.2,12.1,12.4,17.1,40.4
28,TB,"Emeka Egbuka",WR,10.0,-2.9%,9,38%,12.5,14.7,14.2,17.6,39.9
29,NYJ,"Breece Hall",RB,10.0,0.6%,9,85%,12.3,12.7,14.3,17.6,39.1
30,MIA,"Jaylen Waddle",WR,10.0,3.3%,12,93%,11.8,13.1,14.6,16.8,38.8
31,CHI,"Rome Odunze",WR,11.0,1.2%,5,79%,11,12.8,13.1,15.3,38.4
32,TB,"Bucky Irving",RB,9.0,-3.8%,9,83%,11.4,14.2,14.1,16.2,37.8
33,LAC,"Ladd McConkey",WR,10.0,4.2%,12,86%,12.2,12,13.5,17.8,36.4
34,NO,"Chris Olave",WR,10.0,-7.3%,11,76%,10.8,14,14,17.5,35.8
35,CHI,"D'Andre Swift",RB,11.0,0.1%,5,73%,9.6,12.1,13.2,15.3,35.3
36,DAL,"George Pickens",WR,10.0,-5.9%,10,47%,11.5,13.7,13.7,17.1,34.6
37,KC,"Xavier Worthy",WR,10.0,0.1%,10,75%,10.4,10.2,13.7,17.8,34.4
38,NYJ,"Garrett Wilson",WR,9.0,1.2%,9,36%,11.3,12.6,12.8,16.6,34.3
39,PIT,"D.K. Metcalf",WR,11.0,3.1%,5,69%,10.2,13.5,12.8,14.8,34.3
40,LVR,"Brock Bowers",TE,10.0,-8.4%,8,75%,11.3,11.2,13.9,15.6,34.2
41,JAC,"Brian Thomas Jr.",WR,10.0,0.4%,8,46%,11.2,12,13.5,17.6,34.1
42,CAR,"Tetairoa McMillan",WR,10.0,-0.4%,14,45%,11.7,12.1,13.8,16.6,34
43,PHI,"DeVonta Smith",WR,10.0,8.7%,9,94%,11.8,13.7,13.4,17.3,33.9
44,CIN,"Tee Higgins",WR,10.0,6%,10,88%,10.5,11.5,13.4,18.1,33.7
45,KC,"Patrick Mahomes",QB,10.0,-1.8%,10,23%,18.3,20.4,20.6,26.6,33.5
46,DEN,"Courtland Sutton",WR,10.0,2.8%,12,80%,11.8,12.6,13.1,17.7,33.4
47,ATL,"Drake London",WR,10.0,4%,5,76%,10.5,14.9,12.4,15.3,33.2
48,PIT,"Jaylen Warren",RB,11.0,5.3%,5,91%,9.7,12.9,12.3,16,32.2
49,WAS,"Deebo Samuel",WR,10.0,0.4%,12,95%,11.6,12,13.2,16.9,31.7
50,CIN,"Chase Brown",RB,10.0,10.3%,10,81%,11,11.4,13.6,16.3,30.3
51,MIN,"Jordan Addison",WR,11.0,10.4%,6,77%,10,11.1,12,15,29.6
52,DAL,"Jake Ferguson",TE,10.0,-6.3%,10,83%,10.7,11.6,11.9,17.3,29.5
53,SF,"George Kittle",TE,10.0,2.9%,14,53%,9.5,12.1,12.8,16.1,29.2
54,GB,"Tucker Kraft",TE,11.0,1.8%,5,49%,8.3,10.2,11.9,14.3,29.2
55,BAL,"Lamar Jackson",QB,10.0,8.4%,7,45%,16.8,19.9,19.5,21.3,27.9
56,JAC,"Travis Etienne",RB,10.0,0.7%,8,69%,9.8,11.2,13.1,16.5,27.1
57,NE,"Stefon Diggs",WR,10.0,-2%,14,47%,10.8,12.4,12.6,16.4,26.2
58,PHI,"A.J. Brown",WR,10.0,8.7%,9,76%,10.9,12.7,12.4,16.7,26.2
59,WAS,"Terry McLaurin",WR,10.0,0.4%,12,93%,11,11.4,12.7,15.9,25.8
60,BUF,"Dalton Kincaid",TE,11.0,4.3%,7,77%,9.1,9.1,10.7,14.2,25.7
61,DET,"David Montgomery",RB,10.0,-3.6%,8,94%,10.2,10.2,12.6,15.8,25.6
62,DEN,"J.K. Dobbins",RB,10.0,-1.9%,12,47%,9.6,10.4,12.5,16.3,25.5
63,LAC,"Keenan Allen",WR,10.0,4.2%,12,94%,10.7,11.7,12.7,15.7,24.9
64,MIN,"Jordan Mason",RB,11.0,4.1%,6,88%,8.7,8.6,10.8,15.1,24.3
65,IND,"Michael Pittman Jr.",WR,10.0,-2.5%,11,94%,11.1,12.6,12.2,16.1,24.1
66,DET,"Sam LaPorta",TE,10.0,6.4%,8,84%,10.4,10.6,11.4,15.3,24
67,DET,"Jameson Williams",WR,10.0,8.2%,8,68%,9.8,9.9,12.5,16.3,23.8
68,LAC,"Justin Herbert",QB,10.0,-1.6%,12,36%,17.6,18.2,19.5,25.4,23.7
69,SEA,"Zach Charbonnet",RB,10.0,-10.9%,8,62%,10.2,9.9,11.7,15.8,23.7
70,WAS,"Jacory Croskey-Merritt",RB,10.0,5.1%,12,44%,9.8,11.1,11.1,17.2,23.7
71,SEA,"Kenneth Walker III",RB,10.0,-10.9%,8,43%,9.1,10.9,12.4,14.9,23.4
72,NYG,"Tyrone Tracy Jr.",RB,10.0,-5.2%,14,69%,8.9,5.1,12.2,15.3,23.3
73,BUF,"Khalil Shakir",WR,11.0,-3.5%,7,88%,9.7,10,11.4,14,23.1
74,ARI,"Trey Benson",RB,9.0,0.4%,8,45%,9.2,10,11.6,13.9,22.8
75,NO,"Alvin Kamara",RB,10.0,-6.4%,11,93%,9.9,12.2,11.3,15.8,22.7
76,NE,"Rhamondre Stevenson",RB,10.0,2.5%,14,93%,10.1,10.3,11.6,14.7,22.3
77,GB,"Romeo Doubs",WR,11.0,0.1%,5,90%,9.5,9.6,11.3,13.9,22
78,MIN,"Aaron Jones",RB,11.0,4.1%,6,65%,8.5,9,10.4,13.2,21.5
79,NE,"Drake Maye",QB,10.0,0.4%,14,65%,17.2,18.9,19.3,24.5,21
80,LAC,"Omarion Hampton",RB,6.0,3.7%,12,94%,8,10.3,9.2,10.9,20.9
81,ATL,"Kyle Pitts",TE,11.0,11.5%,5,85%,8.3,9.1,9.9,13.7,20.6
82,NYG,"Wan'Dale Robinson",WR,10.0,-0.2%,14,45%,10.1,12.2,12.3,15,20.5
83,TEN,"Tony Pollard",RB,10.0,-9%,10,51%,9.2,8.4,11.5,13.8,20.5
84,CAR,"Rico Dowdle",RB,10.0,-6.4%,14,48%,9.5,10.3,10.7,15,20.3
85,HOU,"Jo'Quavious Marks",RB,11.0,4.7%,6,0%,7.7,8.6,9.6,14.2,20.1
86,WAS,"Jayden Daniels",QB,9.0,1.7%,12,71%,16.5,17.5,17.7,23.2,19.9
87,JAC,"Travis Hunter",WR,10.0,0.4%,8,44%,10.5,5.7,11.9,15.2,19.7
88,ARI,"Marvin Harrison Jr.",WR,10.0,2.8%,8,90%,9.5,12.1,12.7,14.2,19.6
89,TB,"Chris Godwin",WR,9.0,-2.9%,9,94%,9.5,8.8,11.4,14.4,19.2
90,BUF,"Keon Coleman",WR,11.0,-3.5%,7,85%,8.3,9.2,10.9,14.3,19.2
91,PHI,"Dallas Goedert",TE,10.0,-0.3%,9,70%,9.6,10.2,10.8,13.7,18.5
92,DAL,"Dak Prescott",QB,10.0,-4.9%,10,27%,16.5,18.3,18.8,24.4,18.4
93,KC,"Travis Kelce",TE,10.0,-6.4%,10,65%,8.9,9.3,10.6,14.4,18.2
94,LAC,"Quentin Johnston",WR,10.0,4.2%,12,86%,9.8,11.1,12.2,14.4,18.1
95,NO,"Rashid Shaheed",WR,10.0,-7.3%,11,82%,10.4,10,11.7,15,18.1
96,CHI,"D.J. Moore",WR,11.0,1.2%,5,71%,9,10.4,11.2,12.9,18.1
97,HOU,"Nick Chubb",RB,11.0,4.7%,6,61%,8.2,6.4,9.6,12.5,18.1
98,CAR,"Chuba Hubbard",RB,10.0,-6.4%,14,82%,8.4,8.9,10.9,13.1,18
99,LAC,"Oronde Gadsden II",TE,10.0,-6.7%,12,0%,9.5,10,10.3,14.4,17.9
100,GB,"Matthew Golden",WR,11.0,0.1%,5,91%,8.9,8.7,10.2,14.3,17.3
101,KC,"Isiah Pacheco",RB,10.0,8.9%,10,75%,7.7,7.6,9.6,15.4,17.2
102,SF,"Ricky Pearsall",WR,8.0,1.4%,14,46%,8.6,9.9,10.5,13.2,16.3
103,CHI,"Caleb Williams",QB,11.0,5.2%,5,24%,14.4,17.1,17.5,20.5,15.4
104,MIN,"T.J. Hockenson",TE,11.0,9.1%,6,57%,7.5,8.3,9.4,12.2,14.8
105,LVR,"Jakobi Meyers",WR,10.0,-4.1%,8,77%,9,10.7,11.9,13.8,14.2
106,TB,"Baker Mayfield",QB,10.0,-5.8%,9,26%,15.8,19.4,18.6,22.9,14.1
107,LAC,"Kimani Vidal",RB,10.0,3.7%,12,0%,8.2,7.1,9.6,12,14
108,DEN,"RJ Harvey",RB,10.0,-1.9%,12,41%,7.1,7,9.3,12.6,13.2
109,HOU,"Dalton Schultz",TE,11.0,-7.2%,6,82%,7.7,8.5,8.6,12.5,13.1
110,SF,"Jauan Jennings",WR,10.0,1.4%,14,85%,9.8,8.5,10.9,14.7,12.9
111,CHI,"Kyle Monangai",RB,11.0,0.1%,5,0%,7.1,5.4,8.1,11.3,12.8
112,NE,"Hunter Henry",TE,10.0,-1.1%,14,64%,8.3,8.9,9.9,12.4,11.8
113,WAS,"Zach Ertz",TE,10.0,-4%,12,88%,7.6,8.9,10.1,12.3,11.6
114,JAC,"Bhayshul Tuten",RB,10.0,0.7%,8,16%,6.3,5,8.9,12,11.3
115,NE,"TreVeyon Henderson",RB,10.0,2.5%,14,37%,6.7,6,9.2,11,11.2
116,GB,"Jordan Love",QB,11.0,4.2%,5,42%,14.7,15.9,16.3,20,11.1
117,CHI,"Colston Loveland",TE,11.0,14.6%,5,33%,7.4,4.6,8.5,11.6,10.8
118,TEN,"Tyjae Spears",RB,10.0,-9%,10,44%,6.5,7.7,8.7,11.6,10.5
119,PIT,"Kenneth Gainwell",RB,11.0,5.3%,5,52%,6,7.7,7.6,11.2,10.5
120,TB,"Cade Otton",TE,10.0,-10.7%,9,69%,8.1,8.2,9.5,12.4,10.2
121,TB,"Rachaad White",RB,10.0,-3.8%,9,86%,6.9,8.5,8.4,11.3,9.9
122,ATL,"Darnell Mooney",WR,11.0,4%,5,94%,7.2,8.5,10.2,12.4,9.8
123,CLE,"Harold Fannin Jr.",TE,10.0,-0.5%,9,68%,8.1,8.7,9.2,12.6,9.6
124,BAL,"Roquan Smith",LB,11.0,34.7%,7,9%,7.2,6.8,8.6,10.3,9.5
125,IND,"Daniel Jones",QB,10.0,-7.5%,11,36%,16.1,18.1,17.5,21.9,8.8
126,ATL,"Tyler Allgeier",RB,11.0,-8.7%,5,37%,5.6,6.1,6.3,12.5,8.7
127,NYJ,"Mason Taylor",TE,10.0,1.2%,9,72%,7.7,8.2,9.3,12.1,8.6
128,NYJ,"Isaiah Davis",RB,10.0,0.6%,9,0%,6.6,2.9,7.6,11.4,8.1
129,NYG,"Jaxson Dart",QB,10.0,1.8%,14,33%,14.8,17.9,17.4,22.4,7.9
130,GB,"Green Bay Packers",DEF,11.0,-6.2%,5,0%,6.4,4.5,7.2,8.1,7.9
131,DEN,"Bo Nix",QB,10.0,-0.9%,12,21%,16.2,17.9,17.8,20.5,7.4
132,LAR,"Matthew Stafford",QB,10.0,-3.3%,8,37%,15.5,16.3,17.6,21.3,7.4
133,LVR,"Tre Tucker",WR,10.0,-4.1%,8,0%,8.8,9.4,10.4,13.9,7.3
134,CLE,"Jerry Jeudy",WR,10.0,5.6%,9,55%,9.5,8.8,10.7,12.8,7.2
135,BAL,"Mark Andrews",TE,11.0,21.9%,7,49%,6.9,7.4,8.4,10.5,7.1
136,KC,"Kareem Hunt",RB,10.0,8.9%,10,42%,6.4,5.4,7.9,9.9,7
137,DET,"Brian Branch",DB,10.0,3.9%,8,0%,6,6,8,10,6.9
138,HOU,"Will Anderson Jr.",DL,11.0,-1.9%,6,28%,4.6,4,5.7,7.2,6.8
139,DAL,"Brandon Aubrey",K,10.0,4.8%,10,6%,8.5,6.2,9.9,10.5,6.5
140,IND,"Josh Downs",WR,10.0,-2.5%,11,91%,9.3,7.4,10.7,12.6,6.4
141,GB,"Micah Parsons",DL,11.0,-6.2%,5,35%,4.8,5.5,5.6,7,6.4
142,BAL,"Kyle Hamilton",DB,11.0,34.7%,7,25%,5.6,5.9,7,9.1,6.2
143,CLE,"David Njoku",TE,10.0,-0.5%,9,86%,7.5,8,9,11.3,6.1
144,HOU,"Ka'imi Fairbairn",K,11.0,-8.7%,6,0%,7.7,5.3,8.8,9.6,6
145,GB,"Edgerrin Cooper",LB,11.0,-6.2%,5,0%,6.2,6.8,7.8,10.1,6
146,DEN,"Evan Engram",TE,10.0,-2.9%,12,67%,7.6,8,8.6,11.9,5.8
147,CIN,"Barrett Carter",LB,10.0,14.2%,10,0%,0,5.5,6.7,13.4,5.7
148,TEN,"Calvin Ridley",WR,8.0,-2.5%,10,65%,7,8.3,9.7,11.4,5.6
149,PIT,"T.J. Watt",DL,11.0,-5.6%,5,14%,4.2,5.6,5.5,6.8,5.3
150,TB,"Antoine Winfield Jr.",DB,10.0,15.6%,9,0%,5.6,5,7.5,10.1,5.2
151,SEA,"Sam Darnold",QB,10.0,-4.3%,8,25%,15.1,16,17.2,21,5
152,PIT,"Chris Boswell",K,11.0,1.8%,5,0%,8,5.3,8.5,9.5,5
153,ARI,"Budda Baker",DB,10.0,-17.4%,8,30%,5.8,5.9,7.6,9.5,4.9
154,HOU,"Houston Texans",DEF,11.0,-1.9%,6,0%,6,4.3,6.5,7.7,4.8
155,MIN,"Jonathan Greenard",DL,11.0,-28.5%,6,0%,4,4.8,5.5,6.6,4.8
156,LAC,"Cameron Dicker",K,10.0,-8.1%,12,6%,8.2,5.4,9.5,10.2,4.7
157,DET,"Jared Goff",QB,10.0,8.3%,8,30%,15.5,17.9,17,20.9,4.5
158,NYG,"Theo Johnson",TE,10.0,4.2%,14,42%,7.5,9.2,8.1,12.1,4.4
159,DET,"Aidan Hutchinson",DL,10.0,3.9%,8,35%,4.9,4.1,5.8,7.3,4.3
160,BAL,"Tyler Loop",K,11.0,5.9%,7,0%,7.6,5.4,8.4,9.1,4.2
161,PHI,"Zack Baun",LB,10.0,-15.6%,9,0%,6.6,7.1,8.3,10.6,4.1
162,CHI,"Jaquan Brisker",DB,11.0,15.5%,5,0%,4.6,4.7,6.6,8.9,4
163,NE,"Kayshon Boutte",WR,10.0,-2%,14,0%,7.4,8.9,10.2,13.8,3.8
164,ATL,"Kaden Elliss",LB,11.0,4.5%,5,0%,6.3,6,7.6,9.4,3.8
165,IND,"Alec Pierce",WR,10.0,-2.5%,11,94%,9.3,8.2,9.8,13.2,3.6
166,BUF,"Terrel Bernard",LB,11.0,6.3%,7,0%,6,4.8,7.2,10.1,3.6
