Rank,Team,Player,"Fantasy Position",Games,SOS,Bye,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,RK,"Fernando Mendoza",QB,17.0,-,18,0%,247.9,,247.9,247.9,100
2,RK,"Jeremiyah Love",RB,17.0,-,18,0%,217.3,,217.3,217.3,81.2
3,RK,"Will Ferrin",K,17.0,-,18,0%,113.4,,113.4,113.4,70.6
4,RK,"Drew Stevens",K,17.0,-,18,0%,113.4,,113.4,113.4,70.6
5,RK,"Jordyn Tyson",WR,17.0,-,18,0%,168.5,,168.5,168.5,57.5
6,RK,"Makai Lemon",WR,17.0,-,18,0%,155.7,,155.7,155.7,52.2
7,RK,"Ty Simpson",QB,17.0,-,18,0%,162.4,,162.4,162.4,49.3
8,RK,"Jadarian Price",RB,17.0,-,18,0%,133.8,,133.8,133.8,46.3
9,RK,"Carnell Tate",WR,17.0,-,18,0%,137.4,,137.4,137.4,44.5
10,RK,"Denzel Boston",WR,17.0,-,18,0%,137,,137,137,44.4
11,RK,"KC Concepcion",WR,17.0,-,18,0%,131.6,,131.6,131.6,42.1
12,RK,"Jonah Coleman",RB,17.0,-,18,0%,121.7,,121.7,121.7,41.2
13,RK,"Chris Bell",WR,17.0,-,18,0%,118.3,,118.3,118.3,36.5
14,RK,"Germie Bernard",WR,17.0,-,18,0%,110.2,,110.2,110.2,33.1
15,RK,"Zachariah Branch",WR,17.0,-,18,0%,110.2,,110.2,110.2,33.1
16,RK,"Elijah Sarratt",WR,17.0,-,18,0%,106.6,,106.6,106.6,31.6
17,RK,"Emmett Johnson",RB,17.0,-,18,0%,95.7,,95.7,95.7,30.3
18,RK,"Chris Brazzell II",WR,17.0,-,18,0%,102.9,,102.9,102.9,30.1
19,RK,"Nicholas Singleton",RB,17.0,-,18,0%,93,,93,93,29.2
20,RK,"Ja'Kobi Lane",WR,17.0,-,18,0%,98.9,,98.9,98.9,28.4
21,RK,"Kaytron Allen",RB,17.0,-,18,0%,83,,83,83,25
22,RK,"Jamarion Miller",RB,17.0,-,18,0%,82.5,,82.5,82.5,24.8
23,RK,"Kenyon Sadiq",TE,17.0,-,18,0%,115.3,,115.3,115.3,22.5
24,RK,"Antonio Williams",WR,17.0,-,18,0%,81.9,,81.9,81.9,21.3
25,RK,"Demond Claiborne",RB,17.0,-,18,0%,68.7,,68.7,68.7,19
26,RK,"Brenen Thompson",WR,17.0,-,18,0%,71.4,,71.4,71.4,16.9
27,RK,"Mike Washington Jr.",RB,17.0,-,18,0%,61.9,,61.9,61.9,16.2
28,RK,"Josh Cameron",WR,17.0,-,18,0%,68.9,,68.9,68.9,15.8
29,RK,"Bryce Lance",WR,17.0,-,18,0%,66,,66,66,14.6
30,RK,"Jamal Haynes",RB,17.0,-,18,0%,57.1,,57.1,57.1,14.2
31,RK,"Kaelon Black",RB,17.0,-,18,0%,55.9,,55.9,55.9,13.7
32,RK,"Jaydn Ott",RB,17.0,-,18,0%,55.2,,55.2,55.2,13.4
33,RK,"Seth McGowan",RB,17.0,-,18,0%,54.1,,54.1,54.1,12.9
34,RK,"Trinidad Chambliss",QB,17.0,-,18,0%,100.3,,100.3,100.3,12.5
