Name,Pos,half_ppr,full_ppr
Josh Allen,QB,54,53
Lamar Jackson,QB,45,44
Jayden Daniels,QB,38,38
Jalen Hurts,QB,34,35
Patrick Mahomes,QB,27,28
Caleb Williams,QB,26,27
Justin Herbert,QB,24,25
Drake Maye,QB,12,15
Baker Mayfield,QB,12,14
Dak Prescott,QB,10,13
Justin Fields,QB,9,12
Bo Nix,QB,6,9
Jordan Love,QB,5,8
Daniel Jones,QB,2,6
Jared Goff,QB,3,6
Kyler Murray,QB,1,5
Brock Purdy,QB,0,3
Matthew Stafford,QB,-1,2
Sam Darnold,QB,-1,2
Aaron Rodgers,QB,-2,1
Jaxson Dart,QB,-4,0
Michael Penix Jr.,QB,-6,-1
Trevor Lawrence,QB,-5,-1
C.J. Stroud,QB,-7,-2
J.J. McCarthy,QB,-8,-3
Tua Tagovailoa,QB,-10,-5
Bryce Young,QB,-11,-6
Geno Smith,QB,-11,-6
Joe Flacco,QB,-15,-9
Dillon Gabriel,QB,-30,-23
Cameron Ward,QB,-32,-25
Spencer Rattler,QB,-43,-35
Tyler Shough,QB,-48,-39
Joe Burrow,QB,-117,-101
Jalen Milroe,QB,-135,-116
Kirk Cousins,QB,-136,-117
Mac Jones,QB,-136,-117
Jacoby Brissett,QB,-137,-118
Cooper Rush,QB,-139,-120
Shedeur Sanders,QB,-147,-127
Bijan Robinson,RB,100,100
Jonathan Taylor,RB,93,87
Christian McCaffrey,RB,82,86
De'Von Achane,RB,71,81
Jahmyr Gibbs,RB,82,81
James Cook,RB,76,71
Josh Jacobs,RB,72,69
Saquon Barkley,RB,66,63
Ashton Jeanty,RB,54,55
Kyren Williams,RB,54,50
Breece Hall,RB,46,48
Bucky Irving,RB,45,46
Derrick Henry,RB,54,46
Javonte Williams,RB,47,46
Quinshon Judkins,RB,51,45
Kenneth Walker III,RB,32,36
Travis Etienne,RB,32,31
Cameron Skattebo,RB,27,29
J.K. Dobbins,RB,30,29
Jaylen Warren,RB,26,29
Chase Brown,RB,24,28
David Montgomery,RB,27,28
Jacory Croskey-Merritt,RB,29,27
Omarion Hampton,RB,27,27
Alvin Kamara,RB,24,26
Tony Pollard,RB,23,25
Jordan Mason,RB,26,24
D'Andre Swift,RB,20,23
Zach Charbonnet,RB,23,23
Chuba Hubbard,RB,20,22
Trey Benson,RB,20,21
RJ Harvey,RB,19,20
TreVeyon Henderson,RB,16,19
Rhamondre Stevenson,RB,17,17
Aaron Jones,RB,13,16
Bhayshul Tuten,RB,16,16
Jo'Quavious Marks,RB,16,16
Nick Chubb,RB,16,16
Rico Dowdle,RB,12,12
Michael Carter,RB,8,11
Kenneth Gainwell,RB,7,9
Rachaad White,RB,6,9
Tyjae Spears,RB,3,7
Isaiah Davis,RB,4,6
Kareem Hunt,RB,5,6
Tyrone Tracy Jr.,RB,3,6
Hassan Haskins,RB,3,4
Kendre Miller,RB,5,4
Brashard Smith,RB,-1,3
Kimani Vidal,RB,2,3
Tyler Allgeier,RB,3,3
Blake Corum,RB,2,2
Isiah Pacheco,RB,0,2
Nyheim Hines,RB,0,0
Ollie Gordon II,RB,0,0
Brian Robinson Jr.,RB,-3,-1
Jaydon Blue,RB,-5,-1
Kyle Monangai,RB,-2,-1
Joe Mixon,RB,-5,-3
Justice Hill,RB,-7,-3
Miles Sanders,RB,-5,-3
Dylan Sampson,RB,-7,-4
Sean Tucker,RB,-7,-6
Jeremy McNichols,RB,-12,-8
Zonovan Knight,RB,-10,-8
Jerome Ford,RB,-13,-9
Samaje Perine,RB,-12,-9
Ty Johnson,RB,-12,-9
Devin Singletary,RB,-12,-10
MarShawn Lloyd,RB,-12,-10
Braelon Allen,RB,-12,-11
DJ Giddens,RB,-15,-12
Jaylen Wright,RB,-14,-13
Will Shipley,RB,-15,-13
Chris Rodriguez,RB,-14,-14
Emanuel Wilson,RB,-16,-14
Ray Davis,RB,-15,-14
Devin Neal,RB,-17,-15
Emari Demercado,RB,-19,-15
LeQuint Allen,RB,-19,-15
Elijah Mitchell,RB,-19,-17
Kaleb Johnson,RB,-20,-17
Raheem Mostert,RB,-19,-17
Zavier Scott,RB,-19,-17
A.J. Dillon,RB,-20,-18
Dare Ogunbowale,RB,-21,-18
Roschon Johnson,RB,-20,-18
Christopher Brooks,RB,-21,-19
Jordan James,RB,-22,-19
Raheim Sanders,RB,-22,-19
Tyler Badie,RB,-23,-19
Julius Chestnut,RB,-22,-20
Jarquez Hunter,RB,-25,-22
Tahj Brooks,RB,-24,-22
Dylan Laube,RB,-28,-25
Kalel Mullings,RB,-27,-25
Tyler Goodson,RB,-28,-25
Zamir White,RB,-27,-25
Trevor Etienne,RB,-28,-26
Ty Chandler,RB,-28,-26
Jaleel McLaughlin,RB,-31,-28
DeeJay Dallas,RB,-31,-29
Eric Gray,RB,-34,-31
Cam Akers,RB,-33,-32
Keaton Mitchell,RB,-34,-32
Damien Martinez,RB,-35,-33
Donovan Edwards,RB,-36,-34
Puka Nacua,WR,89,96
Justin Jefferson,WR,76,79
CeeDee Lamb,WR,71,76
Amon-Ra St. Brown,WR,67,73
Jaxon Smith-Njigba,WR,67,72
Nico Collins,WR,68,70
Ja'Marr Chase,WR,62,66
Drake London,WR,57,61
Rome Odunze,WR,59,60
George Pickens,WR,53,54
Rashee Rice,WR,46,51
Garrett Wilson,WR,42,47
Davante Adams,WR,42,44
Jaylen Waddle,WR,41,43
Emeka Egbuka,WR,41,42
Keenan Allen,WR,37,42
A.J. Brown,WR,41,41
Tetairoa McMillan,WR,41,41
Deebo Samuel,WR,39,40
Xavier Worthy,WR,35,37
Brian Thomas Jr.,WR,35,36
Zay Flowers,WR,35,36
Courtland Sutton,WR,36,35
Mike Evans,WR,35,35
Marvin Harrison Jr.,WR,35,34
Chris Olave,WR,30,33
DeVonta Smith,WR,31,33
Stefon Diggs,WR,31,33
Ladd McConkey,WR,30,32
D.J. Moore,WR,29,30
D.K. Metcalf,WR,31,30
Jakobi Meyers,WR,28,30
Jordan Addison,WR,30,30
Chris Godwin,WR,25,28
Jameson Williams,WR,31,28
Michael Pittman Jr.,WR,25,28
Terry McLaurin,WR,27,27
Tee Higgins,WR,25,26
Quentin Johnston,WR,26,25
Romeo Doubs,WR,25,25
Wan'Dale Robinson,WR,17,23
Ricky Pearsall,WR,23,22
Jauan Jennings,WR,21,21
Keon Coleman,WR,22,20
Khalil Shakir,WR,18,20
Calvin Ridley,WR,18,19
Matthew Golden,WR,21,19
Travis Hunter,WR,20,19
Darnell Mooney,WR,16,15
Jerry Jeudy,WR,15,15
Josh Downs,WR,12,13
Tre Tucker,WR,15,13
Cooper Kupp,WR,9,10
Marquise Brown,WR,10,10
Tory Horton,WR,11,10
Elic Ayomanor,WR,9,9
Troy Franklin,WR,10,9
Jalen Coker,WR,9,8
Luther Burden III,WR,8,7
Marvin Mims Jr.,WR,8,7
Darius Slayton,WR,8,6
Rashid Shaheed,WR,5,6
Christian Kirk,WR,6,5
Joshua Palmer,WR,6,5
Dontayvion Wicks,WR,6,3
Jayden Higgins,WR,4,3
Isaiah Bond,WR,0,0
Malik Washington,WR,0,0
Rashod Bateman,WR,3,0
Russell Gage,WR,0,0
Sterling Shepard,WR,0,0
Alec Pierce,WR,1,-1
